SMILES,INCHI,INCHI_KEY,CID,VENDORS,Ambeed_link,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link
Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,InChI=1S/C6H2Cl4O2/c7-1-2(8)4(10)6(12)5(11)3(1)9/h11-12H,RRBMVWQICIXSEO-UHFFFAOYSA-N,14537.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)']",https://www.ambeed.com/products/1198-55-6.html,https://www.combi-blocks.com/cgi-bin/find.cgi?OR-0011,https://www.sigmaaldrich.com/catalog/product/sial/36443?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,https://www.tcichemicals.com/p/T3627,
C=CCc1ccc(O)c(O)c1,"InChI=1S/C9H10O2/c1-2-3-7-4-5-8(10)9(11)6-7/h2,4-6,10-11H,1,3H2",FHEHIXJLCWUPCZ-UHFFFAOYSA-N,70775.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)']",https://www.ambeed.com/products/1126-61-0.html,https://www.combi-blocks.com/cgi-bin/find.cgi?HA-0778,https://www.sigmaaldrich.com/catalog/product/sial/18078?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/A2947/index.html,
COC(=O)c1cc(O)ccc1O,"InChI=1S/C8H8O4/c1-12-8(11)6-4-5(9)2-3-7(6)10/h2-4,9-10H,1H3",XGDPKUKRQHHZTH-UHFFFAOYSA-N,75077.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)', 'Thermo Fisher Scientific']",https://www.ambeed.com/products/2150-46-1.html,https://www.combi-blocks.com/cgi-bin/find.cgi?ST-6239,https://www.sigmaaldrich.com/catalog/product/aldrich/426091?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/M2006/index.html,https://www.thermofisher.com/order/catalog/product/A10407.14
Cc1cc(=O)oc2c(O)c(O)ccc12,"InChI=1S/C10H8O4/c1-5-4-8(12)14-10-6(5)2-3-7(11)9(10)13/h2-4,11,13H,1H3",NWQBYMPNIJXFNQ-UHFFFAOYSA-N,5355836.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)', 'Thermo Fisher Scientific']",https://www.ambeed.com/products/2107-77-9.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QF-0349,https://www.sigmaaldrich.com/catalog/product/aldrich/630748?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/D4793/index.html,https://www.thermofisher.com/order/catalog/product/L14069.ME
COc1cc(C(=O)O)cc(O)c1O,"InChI=1S/C8H8O5/c1-13-6-3-4(8(11)12)2-5(9)7(6)10/h2-3,9-10H,1H3,(H,11,12)",KWCCUYSXAYTNKA-UHFFFAOYSA-N,19829.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich']",https://www.ambeed.com/products/3934-84-7.html,https://www.combi-blocks.com/cgi-bin/find.cgi?SS-9783,https://www.sigmaaldrich.com/catalog/product/aldrich/cds003720?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,,
O=C1c2c(O)cc(O)cc2O[C@H](c2cc(O)c(O)c(O)c2)[C@H]1O,"InChI=1S/C15H12O8/c16-6-3-7(17)11-10(4-6)23-15(14(22)13(11)21)5-1-8(18)12(20)9(19)2-5/h1-4,14-20,22H/t14-,15+/m0/s1",KJXSIXMJHKAJOD-LSDHHAIUSA-N,161557.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)']",https://www.ambeed.com/products/27200-12-0.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QA-8836,https://www.sigmaaldrich.com/catalog/product/sial/42866?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,https://www.tcichemicals.com/p/D5464,
COC(=O)/C=C/c1ccc(O)c(O)c1,"InChI=1S/C10H10O4/c1-14-10(13)5-3-7-2-4-8(11)9(12)6-7/h2-6,11-12H,1H3/b5-3+",OCNYGKNIVPVPPX-HWKANZROSA-N,689075.0,"['Ambeed', 'Combi-Blocks']",https://www.ambeed.com/products/3843-74-1.html,https://www.combi-blocks.com/cgi-bin/find.cgi?YC-0785,,,
C=Cc1ccc(O)c(O)c1,"InChI=1S/C8H8O2/c1-2-6-3-4-7(9)8(10)5-6/h2-5,9-10H,1H2",FBTSUTGMWBDAAC-UHFFFAOYSA-N,151398.0,['Ambeed'],https://www.ambeed.com/products/6053-02-7.html,,,,
O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,"InChI=1S/C21H18O12/c22-8-3-1-7(2-4-8)10-5-9(23)13-11(31-10)6-12(14(24)15(13)25)32-21-18(28)16(26)17(27)19(33-21)20(29)30/h1-6,16-19,21-22,24-28H,(H,29,30)/t16-,17-,18+,19-,21+/m0/s1",DJSISFGPUUYILV-ZFORQUDYSA-N,185617.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich']",https://www.ambeed.com/products/27740-01-8.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QV-2366,https://www.sigmaaldrich.com/catalog/product/sial/73577?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,,
O=C1/C(=C/c2ccc(O)c(O)c2)Oc2cc(O)ccc21,"InChI=1S/C15H10O5/c16-9-2-3-10-13(7-9)20-14(15(10)19)6-8-1-4-11(17)12(18)5-8/h1-7,16-18H/b14-6-",RGNXWPVNPFAADO-NSIKDUERSA-N,5281295.0,['Ambeed'],https://www.ambeed.com/products/120-05-8.html,,,,
N#Cc1c(O)ccc(O)c1C#N,"InChI=1S/C8H4N2O2/c9-3-5-6(4-10)8(12)2-1-7(5)11/h1-2,11-12H",MPAIWVOBMLSHQA-UHFFFAOYSA-N,78467.0,"['Combi-Blocks', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)', 'Thermo Fisher Scientific']",,https://www.combi-blocks.com/cgi-bin/find.cgi?ST-7250,https://www.sigmaaldrich.com/catalog/product/aldrich/141135?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/D1610/index.html,https://www.thermofisher.com/order/catalog/product/232050050
O=C(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1cc(O)c(O)c(O)c1,"InChI=1S/C13H16O10/c14-3-7-9(18)10(19)11(20)13(22-7)23-12(21)4-1-5(15)8(17)6(16)2-4/h1-2,7,9-11,13-20H,3H2/t7-,9-,10+,11-,13+/m1/s1",GDVRUDXLQBVIKP-HQHREHCSSA-N,124021.0,"['Combi-Blocks', 'Sigma-Aldrich']",,https://www.combi-blocks.com/cgi-bin/find.cgi?QB-1422,https://www.sigmaaldrich.com/catalog/product/sial/69288?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,,
O=[N+]([O-])c1cccc(O)c1O,"InChI=1S/C6H5NO4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,8-9H",YHKWFDPEASWKFQ-UHFFFAOYSA-N,4675622.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich']",https://www.ambeed.com/products/6665-98-1.html,https://www.combi-blocks.com/cgi-bin/find.cgi?AN-3564,https://www.sigmaaldrich.com/catalog/product/aldrich/ph000226,,
Oc1cc(O)c2c(c1)O[C@@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2,"InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15+/m1/s1",XMOCLSLCDHWDHP-DOMZBBRYSA-N,9882981.0,"['Ambeed', 'Sigma-Aldrich']",https://www.ambeed.com/products/3371-27-5.html,,https://www.sigmaaldrich.com/catalog/product/sial/01388?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,,
Oc1cc(Br)c(O)cc1Br,"InChI=1S/C6H4Br2O2/c7-3-1-5(9)4(8)2-6(3)10/h1-2,9-10H",VALXCIRMSIFPFN-UHFFFAOYSA-N,280945.0,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)', 'Thermo Fisher Scientific']",https://www.ambeed.com/products/14753-51-6.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QA-7648,https://www.sigmaaldrich.com/catalog/product/aldrich/574619?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/D4067/index.html,https://www.thermofisher.com/order/catalog/product/H55453.06
CC(=O)c1ccc(O)c(O)c1O,"InChI=1S/C8H8O4/c1-4(9)5-2-3-6(10)8(12)7(5)11/h2-3,10-12H,1H3",XIROXSOOOAZHLL-UHFFFAOYSA-N,10706.0,"['Combi-Blocks', 'Sigma-Aldrich', 'TCI (Tokyo Chemical Industry)', 'Thermo Fisher Scientific']",,https://www.combi-blocks.com/cgi-bin/find.cgi?OR-0439,https://www.sigmaaldrich.com/catalog/product/aldrich/t64408?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/T1198/index.html,https://www.thermofisher.com/order/catalog/product/A14364.06
O=Cc1cc(O)c(C=O)cc1O,"InChI=1S/C8H6O4/c9-3-5-1-7(11)6(4-10)2-8(5)12/h1-4,11-12H",PIWMYUGNZBJTID-UHFFFAOYSA-N,11084236.0,"['Ambeed', 'Combi-Blocks']",https://www.ambeed.com/products/1951-36-6.html,https://www.combi-blocks.com/cgi-bin/find.cgi?QJ-5294,,,
COC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)/C=C/c1ccc(O)c(O)c1,"InChI=1S/C19H18O8/c1-26-19(25)17(10-12-3-6-14(21)16(23)9-12)27-18(24)7-4-11-2-5-13(20)15(22)8-11/h2-9,17,20-23H,10H2,1H3/b7-4+/t17-/m1/s1",XHALVRQBZGZHFE-BBOMDTFKSA-N,6479915.0,['Ambeed'],https://www.ambeed.com/products/99353-00-1.html,,,,
