SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY
c1cncc(-c2n[nH]c(C3CCCCC3)n2)c1,2.914400000000001,1,3,2,54.46,33,65.43970000000003,True,False,False,False,228.2990000000001,False,False,False,"InChI=1S/C13H16N4/c1-2-5-10(6-3-1)12-15-13(17-16-12)11-7-4-8-14-9-11/h4,7-10H,1-3,5-6H2,(H,15,16,17)",CKSUQPRNBBIFGA-UHFFFAOYSA-N
COc1ccc(Cl)c2[nH]c(C)cc(=O)c12,2.49852,1,2,3,42.09,25,60.86770000000001,True,False,False,False,223.65900000000005,False,False,False,"InChI=1S/C11H10ClNO2/c1-6-5-8(14)10-9(15-2)4-3-7(12)11(10)13-6/h3-5H,1-2H3,(H,13,14)",WQKSTGUXOLWBPE-UHFFFAOYSA-N
Cc1cc(=S)[nH]cc1C(C)N,2.07231,2,2,4,41.81,23,48.96610000000002,True,False,False,False,168.2650000000001,False,False,False,"InChI=1S/C8H12N2S/c1-5-3-8(11)10-4-7(5)6(2)9/h3-4,6H,9H2,1-2H3,(H,10,11)",NUBQAORTJWHWFO-UHFFFAOYSA-N
O=c1cc(C(F)(F)F)[nH]c2c(C(F)(F)F)cccc12,3.565700000000001,1,1,0,32.86,24,54.57270000000001,True,False,False,False,281.1549999999999,False,False,False,"InChI=1S/C11H5F6NO/c12-10(13,14)6-3-1-2-5-7(19)4-8(11(15,16)17)18-9(5)6/h1-4H,(H,18,19)",JIWHKBAFGFPZKM-UHFFFAOYSA-N
CCOC(=O)c1cnc2c(OC)cccc2c1O,2.1257000000000006,1,5,6,68.65,31,65.91630000000002,True,False,False,False,247.25000000000009,False,False,False,"InChI=1S/C13H13NO4/c1-3-18-13(16)9-7-14-11-8(12(9)15)5-4-6-10(11)17-2/h4-7H,3H2,1-2H3,(H,14,15)",HCYNWEIHLHVPEW-UHFFFAOYSA-N
O=C(O)c1c[nH]c2ccc([N+](=O)[O-])cc2c1=O,1.1344999999999998,2,5,2,113.29999999999998,23,58.18240000000001,True,False,False,False,234.16700000000003,False,False,False,"InChI=1S/C10H6N2O5/c13-9-6-3-5(12(16)17)1-2-8(6)11-4-7(9)10(14)15/h1-4H,(H,11,13)(H,14,15)",HVEINHUJRQCZNZ-UHFFFAOYSA-N
O=c1cc[nH]cc1S(=O)(=O)N1CCOCC1,-0.6042000000000001,1,4,2,79.47,28,56.64050000000002,True,False,False,False,244.27200000000008,False,False,False,"InChI=1S/C9H12N2O4S/c12-8-1-2-10-7-9(8)16(13,14)11-3-5-15-6-4-11/h1-2,7H,3-6H2,(H,10,12)",MRJSKXZJCRAVNA-UHFFFAOYSA-N
O=c1cc(CCl)nc(-c2cccnc2)[nH]1,1.5707,1,3,2,58.64,23,57.64570000000001,True,False,False,False,221.64700000000008,False,False,False,"InChI=1S/C10H8ClN3O/c11-5-8-4-9(15)14-10(13-8)7-2-1-3-12-6-7/h1-4,6H,5H2,(H,13,14,15)",KCHORMXVZKHPOX-UHFFFAOYSA-N
Cc1nc(S)ccc1C(=O)c1ccccc1,2.909720000000001,1,3,4,29.96,27,66.10050000000003,True,False,False,False,229.3040000000001,False,False,False,"InChI=1S/C13H11NOS/c1-9-11(7-8-12(16)14-9)13(15)10-5-3-2-4-6-10/h2-8H,1H3,(H,14,16)",ABRSZTXDZZVWSC-UHFFFAOYSA-N
CC(C)(C)OC(=O)NCCCC(=O)c1ccc(=S)[nH]c1,3.231790000000001,2,4,5,71.19,40,79.42790000000004,True,False,False,False,296.3919999999996,False,False,False,"InChI=1S/C14H20N2O3S/c1-14(2,3)19-13(18)15-8-4-5-11(17)10-6-7-12(20)16-9-10/h6-7,9H,4-5,8H2,1-3H3,(H,15,18)(H,16,20)",LHBZNOHYXCDHDM-UHFFFAOYSA-N
Oc1ccnc2cc3c(cc12)OCCOCCOCCO3,1.7447999999999997,1,6,1,70.04000000000002,38,76.03580000000004,True,False,False,False,291.30299999999966,False,False,False,"InChI=1S/C15H17NO5/c17-13-1-2-16-12-10-15-14(9-11(12)13)20-7-5-18-3-4-19-6-8-21-15/h1-2,9-10H,3-8H2,(H,16,17)",ZCMWZZBZYPCAKJ-UHFFFAOYSA-N
Oc1nc(-c2cccnc2)nc2ccccc12,2.3974,1,4,2,58.900000000000006,26,64.43380000000002,True,False,False,False,223.23500000000004,False,False,False,"InChI=1S/C13H9N3O/c17-13-10-5-1-2-6-11(10)15-12(16-13)9-4-3-7-14-8-9/h1-8H,(H,15,16,17)",WXCVPMGPMMEPBB-UHFFFAOYSA-N
O=c1cc[nH]cc1S(=O)(=O)N1CCCC1,0.1594,1,3,2,70.24,27,55.05550000000002,True,False,False,False,228.27300000000008,False,False,False,"InChI=1S/C9H12N2O3S/c12-8-3-4-10-7-9(8)15(13,14)11-5-1-2-6-11/h3-4,7H,1-2,5-6H2,(H,10,12)",PGYFLCFSPGPAJQ-UHFFFAOYSA-N
O=c1c2ccccc2[nH]c(=S)n1Cc1ccncc1,2.502390000000001,1,4,2,50.68,30,76.73170000000002,True,False,False,False,269.3289999999998,False,False,False,"InChI=1S/C14H11N3OS/c18-13-11-3-1-2-4-12(11)16-14(19)17(13)9-10-5-7-15-8-6-10/h1-8H,9H2,(H,16,19)",YJXULEORSWLEAC-UHFFFAOYSA-N
Cc1cccc2c(O)c(C(=O)O)cnc12,1.94702,2,4,3,70.42,24,55.10410000000002,True,False,False,False,203.1970000000001,False,False,False,"InChI=1S/C11H9NO3/c1-6-3-2-4-7-9(6)12-5-8(10(7)13)11(14)15/h2-5H,1H3,(H,12,13)(H,14,15)",UJIRBIMPTSELQD-UHFFFAOYSA-N
CC(C)n1c(-c2ccncc2)n[nH]c1=S,2.58359,1,4,4,46.5,27,61.02770000000002,True,False,False,False,220.30100000000013,False,False,False,"InChI=1S/C10H12N4S/c1-7(2)14-9(12-13-10(14)15)8-3-5-11-6-4-8/h3-7H,1-2H3,(H,13,15)",JCEBCTLZJBGPKG-UHFFFAOYSA-N
Cc1nc2cc(C(=O)O)cnc2[nH]1,0.9645199999999998,2,4,2,78.87,20,45.585,True,False,False,False,177.16300000000004,False,False,False,"InChI=1S/C8H7N3O2/c1-4-10-6-2-5(8(12)13)3-9-7(6)11-4/h2-3H,1H3,(H,12,13)(H,9,10,11)",XFDGADJKFGIQGE-UHFFFAOYSA-N
COc1cccc2c(O)cc(C(=O)O)nc12,1.6471999999999998,2,5,4,79.65,25,56.919100000000014,True,False,False,False,219.19600000000003,False,False,False,"InChI=1S/C11H9NO4/c1-16-9-4-2-3-6-8(13)5-7(11(14)15)12-10(6)9/h2-5H,1H3,(H,12,13)(H,14,15)",BXZSKDOPGDPDEG-UHFFFAOYSA-N
