,SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID,VENDORS
4442,O=S1(=O)N=C(NCCc2ccccn2)c2ccccc21,1.3628,1,4,3,71.42,33,76.1085,True,False,False,False,287.344,False,False,False,"InChI=1S/C14H13N3O2S/c18-20(19)13-7-2-1-6-12(13)14(17-20)16-10-8-11-5-3-4-9-15-11/h1-7,9H,8,10H2,(H,16,17)",XOQQJUCZBKVFCR-UHFFFAOYSA-N,2540569,nan
4527,Oc1nc(-c2ccncc2)nc2c1CNC2,0.8474,2,5,2,70.93,26,57.4715,True,False,False,False,214.228,False,False,False,"InChI=1S/C11H10N4O/c16-11-8-5-13-6-9(8)14-10(15-11)7-1-3-12-4-2-7/h1-4,13H,5-6H2,(H,14,15,16)",ZWOBFJBNDQOYQI-UHFFFAOYSA-N,56832286,nan
4593,CCc1nc2c(-c3ccccn3)nsc2c(=O)[nH]1,2.004,1,5,3,71.53,28,70.6447,True,False,False,False,258.306,False,False,False,"InChI=1S/C12H10N4OS/c1-2-8-14-10-9(7-5-3-4-6-13-7)16-18-11(10)12(17)15-8/h3-6H,2H2,1H3,(H,14,15,17)",UDMFMASJWFDPGC-UHFFFAOYSA-N,53337872,nan
4667,Cc1cc(-c2c[nH]c3ccccc23)cc(C)n1,3.84674,1,1,3,28.68,31,71.0037,True,False,False,False,222.291,False,False,False,"InChI=1S/C15H14N2/c1-10-7-12(8-11(2)17-10)14-9-16-15-6-4-3-5-13(14)15/h3-9,16H,1-2H3",KCXZRYMCOWWIGX-UHFFFAOYSA-N,44720731,nan
4766,O=c1[nH]c(NCc2ccccn2)nnc1-c1ccccc1,1.839,2,5,4,83.56,34,79.6524,True,False,False,False,279.303,False,False,False,"InChI=1S/C15H13N5O/c21-14-13(11-6-2-1-3-7-11)19-20-15(18-14)17-10-12-8-4-5-9-16-12/h1-9H,10H2,(H2,17,18,20,21)",KVTNAXYCLBUEOX-UHFFFAOYSA-N,21002251,nan
4801,CC1(C)CNc2nnc(-c3ccncc3)n2C1,1.7918,1,5,3,55.63,32,65.5237,True,False,False,False,229.287,False,False,False,"InChI=1S/C12H15N5/c1-12(2)7-14-11-16-15-10(17(11)8-12)9-3-5-13-6-4-9/h3-6H,7-8H2,1-2H3,(H,14,16)",REEOMKYMGMYPBE-UHFFFAOYSA-N,93997091,nan
4904,CCCCCCc1ccc(C)nc1C,3.82124,0,1,8,12.89,35,61.557,True,False,False,False,191.318,False,False,False,"InChI=1S/C13H21N/c1-4-5-6-7-8-13-10-9-11(2)14-12(13)3/h9-10H,4-8H2,1-3H3",UHQWSIZPAVLQOL-UHFFFAOYSA-N,44720922,nan
4994,CCCCCCc1c(O)nc(C)nc1/C=C/c1cccnc1,4.17882,1,4,10,58.9,45,89.4448,True,False,False,False,297.402,False,False,False,"InChI=1S/C18H23N3O/c1-3-4-5-6-9-16-17(20-14(2)21-18(16)22)11-10-15-8-7-12-19-13-15/h7-8,10-13H,3-6,9H2,1-2H3,(H,20,21,22)/b11-10+",JPQVGDUDBDIOPV-ZHACJKMWSA-N,45061190,nan
5481,Cc1ccc2c(O)cc(O)nc2c1,1.95442,2,3,3,53.35,22,49.8096,True,False,False,False,175.187,False,False,False,"InChI=1S/C10H9NO2/c1-6-2-3-7-8(4-6)11-10(13)5-9(7)12/h2-5H,1H3,(H2,11,12,13)",SNRXUBMTBNZKIF-UHFFFAOYSA-N,2783879,nan
5687,CC[C@H](O)[C@H](N)c1ccc(Br)nc1,1.6148,2,3,6,59.14,26,55.1632,True,False,False,False,245.12,False,False,False,"InChI=1S/C9H13BrN2O/c1-2-7(13)9(11)6-3-4-8(10)12-5-6/h3-5,7,9,13H,2,11H2,1H3/t7-,9+/m0/s1",GSTPIAYQJGHKEA-IONNQARKSA-N,130707569,nan
5769,CC(C)c1nc2cnccc2c(=O)[nH]1,1.4415,1,3,3,58.64,25,54.2477,True,False,False,False,189.218,False,False,False,"InChI=1S/C10H11N3O/c1-6(2)9-12-8-5-11-4-3-7(8)10(14)13-9/h3-6H,1-2H3,(H,12,13,14)",NOFWNFKVZQNHFV-UHFFFAOYSA-N,97179755,nan
6092,NC(CC(Cc1ccncc1)C(=O)O)C(=O)O,0.1269,3,6,7,113.51,31,59.295,True,False,False,False,238.243,False,False,False,"InChI=1S/C11H14N2O4/c12-9(11(16)17)6-8(10(14)15)5-7-1-3-13-4-2-7/h1-4,8-9H,5-6,12H2,(H,14,15)(H,16,17)",RJUNCMAQAGYVHI-UHFFFAOYSA-N,53396140,nan
6139,Cc1cc(=O)[nH]c(-c2ccc(Cl)nc2)n1,1.79372,1,3,2,58.64,23,57.8357,True,False,False,False,221.647,False,False,False,"InChI=1S/C10H8ClN3O/c1-6-4-9(15)14-10(13-6)7-2-3-8(11)12-5-7/h2-5H,1H3,(H,13,14,15)",OEOXJFRUFQEDQI-UHFFFAOYSA-N,50987708,nan
6293,CC(Nc1ccccn1)=C1C(=O)c2ccccc2C1=O,2.8467,1,4,3,59.06,32,75.6627,True,False,False,False,264.284,False,False,False,"InChI=1S/C16H12N2O2/c1-10(18-13-8-4-5-9-17-13)14-15(19)11-6-2-3-7-12(11)16(14)20/h2-9H,1H3,(H,17,18)",LFQCKDPIDAUXIT-UHFFFAOYSA-N,869137,nan
6311,FC(F)Oc1cc(CCl)cc(C(F)(F)F)n1,3.4406,0,2,3,22.12,21,45.428,True,False,False,False,261.577,False,False,False,"InChI=1S/C8H5ClF5NO/c9-3-4-1-5(8(12,13)14)15-6(2-4)16-7(10)11/h1-2,7H,3H2",YVHBOYMPPTVQPR-UHFFFAOYSA-N,131314128,nan
6437,CCOC(=O)c1c(O)cc(O)nc1Cl,1.3229,2,5,5,79.65,22,48.5331,True,False,False,False,217.608,False,False,False,"InChI=1S/C8H8ClNO4/c1-2-14-8(13)6-4(11)3-5(12)10-7(6)9/h3H,2H2,1H3,(H2,10,11,12)",XAMKYZWQQAAKRH-UHFFFAOYSA-N,53393186,nan
6650,CCOC(=O)c1cnc(O)c(C)c1O,0.97792,2,5,6,79.65,25,48.2601,True,False,False,False,197.19,False,False,False,"InChI=1S/C9H11NO4/c1-3-14-9(13)6-4-10-8(12)5(2)7(6)11/h4H,3H2,1-2H3,(H2,10,11,12)",GIFYQZBFWQOFAQ-UHFFFAOYSA-N,10607971,nan
6734,CC1=NN(c2ccccc2)C(=O)/C1=C\NCc1ccncc1,2.4778,1,4,5,57.59,38,86.1967,True,False,False,False,292.342,False,False,False,"InChI=1S/C17H16N4O/c1-13-16(12-19-11-14-7-9-18-10-8-14)17(22)21(20-13)15-5-3-2-4-6-15/h2-10,12,19H,11H2,1H3/b16-12-",UZZSIMYOQMGTOB-VBKFSLOCSA-N,6346289,nan
6755,O=c1[nH]c(C2CCCCC2)nc2cnccc12,2.3658,1,3,1,58.64,32,65.9847,True,False,False,False,229.283,False,False,False,"InChI=1S/C13H15N3O/c17-13-10-6-7-14-8-11(10)15-12(16-13)9-4-2-1-3-5-9/h6-9H,1-5H2,(H,15,16,17)",KMGOAKOVAFTXDF-UHFFFAOYSA-N,97179758,nan
6808,CCC1CC(=O)C(=CNc2cccc3cccnc23)C(=O)C1,3.4888,1,4,4,59.06,40,86.4777,True,False,False,False,294.354,False,False,False,"InChI=1S/C18H18N2O2/c1-2-12-9-16(21)14(17(22)10-12)11-20-15-7-3-5-13-6-4-8-19-18(13)15/h3-8,11-12,20H,2,9-10H2,1H3",DEPDUWUGZNNJJO-UHFFFAOYSA-N,4108256,nan
7132,CCCC(OC(C)=O)c1ccccn1,2.4859,0,3,6,39.19,29,53.652,True,False,False,False,193.246,False,False,False,"InChI=1S/C11H15NO2/c1-3-6-11(14-9(2)13)10-7-4-5-8-12-10/h4-5,7-8,11H,3,6H2,1-2H3",TXXMIPXQNZVWFL-UHFFFAOYSA-N,44720847,nan
7139,Oc1ncnc(/C=C/c2ccncc2)c1C1CCCC1,3.4052,1,4,4,58.9,37,78.0708,True,False,False,False,267.332,False,False,False,"InChI=1S/C16H17N3O/c20-16-15(13-3-1-2-4-13)14(18-11-19-16)6-5-12-7-9-17-10-8-12/h5-11,13H,1-4H2,(H,18,19,20)/b6-5+",HXHGXHXFUQZLOB-AATRIKPKSA-N,45063943,nan
7168,N/C(=N\O)c1cccnc1-n1nnc2ccccc21,0.91,2,6,3,102.21,29,69.1709,True,False,False,False,254.253,False,False,False,"InChI=1S/C12H10N6O/c13-11(16-19)8-4-3-7-14-12(8)18-10-6-2-1-5-9(10)15-17-18/h1-7,19H,(H2,13,16)",WEOXDLSYDUYORJ-UHFFFAOYSA-N,136212357,nan
7188,O=C(NC(=S)NCc1ccncc1)c1ccccc1,1.8861,2,3,3,54.02,32,77.5829,True,False,False,False,271.345,False,False,False,"InChI=1S/C14H13N3OS/c18-13(12-4-2-1-3-5-12)17-14(19)16-10-11-6-8-15-9-7-11/h1-9H,10H2,(H2,16,17,18,19)",BLPJQEHCDQOKBW-UHFFFAOYSA-N,304739,nan
7536,FC(F)Oc1c(C(F)(F)F)ccnc1CCl,3.4406,0,2,3,22.12,21,45.428,True,False,False,False,261.577,False,False,False,"InChI=1S/C8H5ClF5NO/c9-3-5-6(16-7(10)11)4(1-2-15-5)8(12,13)14/h1-2,7H,3H2",RXEIZZSWBCMKBK-UHFFFAOYSA-N,131307506,nan
7559,O=C1NN=C(C(F)(F)F)C1=CNCc1ccccn1,1.1032,2,4,3,66.38,28,60.7924,True,False,False,False,270.214,False,False,False,"InChI=1S/C11H9F3N4O/c12-11(13,14)9-8(10(19)18-17-9)6-15-5-7-3-1-2-4-16-7/h1-4,6,15H,5H2,(H,18,19)",QEMDFZZKBIGGCU-UHFFFAOYSA-N,6834017,nan
